CommitID,Commit Message
129dc5f47dcb9c3241b26593b0b6d9a8727b5093,@djazayeri Rename MPI interface and change inheritance.
12bd781bdb6cd70baa2fceaeffbc7d4459242567,"BookKeeper Client: Ensemble placement policy changes - Include ackQuorum as an argument to the newEnsemble method - Add ackquorum size to RRTopologyAwareCoverageEnsemble - Include ensemblesize, write quorum, ack quorum and existingEnsemble as a separate explicit argument to replaceBookie; so replacement decisions can be made in accordance with any constraints on the ensemble"
12cace56184bd821634294afeebe701a1b3f876d,SCRUM-285: code review: inherit -> enabled. Using InheritanceContentWrapper temporarily to be replaced with inheritance wrapper.
12d9697d934df90e0ed0261aa20446120c1086a6,HBASE-11527 Cluster free memory limit check should consider L2 block cache size also when L2 cache is onheap. (Anoop)
12ddfcc9f94cf8226f5f4fc863d33f9e18f872b2,DATADOC-128 - Enable storing inheritance trees.
12ea041034bec3d00ed92cc2e3a28f07808228d7,Analyse: System documentation extended with UmlLink and Type Parameter declaration detection. UmlLink detection extended with links to library classes. C# code analysis improved (multiple inheritance. Test case extended.
1312951449ed2f6dffa62abd37a8925c8b7df4cc,Added ErodingPool decorators designed to shrink the size of a pool without the use of an evictor.
131a1a41461bf5c4b1e4530eb172a4234b82cef1,"add support for Lucene indexes configuration: directory (mmap, fs), analyzers, stopwords, size of buffers"
132584eda4f0860c9d14f4c142e684a027a128b8,Refactor some of the inheritance providers.
132fd2e863d712144f01b19d7de00f006508d11a,"Bug 388281 - [compiler][null] inheritance of null annotations as an option - comment 28: consider inherited annotation inside method body, too"
134138d076ba8e7fc58002fda3c5cf501fbfe500,Measure coverage for equals/hashCode methods with inheritance generated by Lombok
137aaa90e5cd2cafc955f56a0f597050156b935b,Added an additional abstraction layer for example queries and implemented a generator for simple regex queries.
1391473c9fe1fb6f201a767445896497028626a9,"Error messages are slightly colorized, continued implementing JPA setup abstraction"
13c14769dd22f023fe277ad1a7d2e3d164aa2755,JBRULES-1450 De-couple drools-core from the java dialect's PackageCompilationData -Initial de-coupling attempt -also updated to mvel 2.0 alpha 2
13e15bba3742983de043d4cfb300c79a887eaeac,=- Extracted A SortedIndex interface from the Index interface to non sorted indexes having to deal with that leaky abstraction. - Added A free() method to the Paged for symetry with the alloc() method. - Added A A couple of pre canned Marshaller impls
13e854402cd8319f201cd4d15b972b77c13bd0eb,Fix size parameter passed to freeSpace
